Grupamento_Atividades;Período;Estoque;Admissões;Desligamentos;Saldos
Administração Pública, Defesa e Seguridade Social;1/2020;977901;3961;4406;-445
Administração Pública, Defesa e Seguridade Social;1/2021;975935;6800;4582;2218
Administração Pública, Defesa e Seguridade Social;1/2022;976305;6084;4869;1215
Administração Pública, Defesa e Seguridade Social;1/2023;1003020;16266;8022;8244
Administração Pública, Defesa e Seguridade Social;10/2020;991552;1881;2435;-554
Administração Pública, Defesa e Seguridade Social;10/2021;992935;5043;4117;926
Administração Pública, Defesa e Seguridade Social;10/2022;1015854;6593;3938;2655
Administração Pública, Defesa e Seguridade Social;11/2020;989160;1640;4032;-2392
Administração Pública, Defesa e Seguridade Social;11/2021;992873;3736;3798;-62
Administração Pública, Defesa e Seguridade Social;11/2022;1017629;5781;4006;1775
Administração Pública, Defesa e Seguridade Social;12/2020;973717;1332;16775;-15443
Administração Pública, Defesa e Seguridade Social;12/2021;975090;2370;20153;-17783
Administração Pública, Defesa e Seguridade Social;12/2022;994776;4390;27243;-22853
Administração Pública, Defesa e Seguridade Social;2/2020;989152;15470;4219;11251
Administração Pública, Defesa e Seguridade Social;2/2021;982564;10619;3990;6629
Administração Pública, Defesa e Seguridade Social;2/2022;988018;20466;8753;11713
Administração Pública, Defesa e Seguridade Social;2/2023;1023101;26038;5957;20081
Administração Pública, Defesa e Seguridade Social;3/2020;992624;6957;3485;3472
Administração Pública, Defesa e Seguridade Social;3/2021;985816;7303;4051;3252
Administração Pública, Defesa e Seguridade Social;3/2022;993613;11487;5892;5595
Administração Pública, Defesa e Seguridade Social;3/2023;1031466;14132;5767;8365
Administração Pública, Defesa e Seguridade Social;4/2020;992574;2424;2474;-50
Administração Pública, Defesa e Seguridade Social;4/2021;987472;5201;3545;1656
Administração Pública, Defesa e Seguridade Social;4/2022;996545;8561;5629;2932
Administração Pública, Defesa e Seguridade Social;4/2023;1036047;9386;4805;4581
Administração Pública, Defesa e Seguridade Social;5/2020;993058;3235;2751;484
Administração Pública, Defesa e Seguridade Social;5/2021;988545;5050;3977;1073
Administração Pública, Defesa e Seguridade Social;5/2022;998306;7697;5936;1761
Administração Pública, Defesa e Seguridade Social;5/2023;1038763;8810;6094;2716
Administração Pública, Defesa e Seguridade Social;6/2020;992788;2402;2672;-270
Administração Pública, Defesa e Seguridade Social;6/2021;989226;4431;3750;681
Administração Pública, Defesa e Seguridade Social;6/2022;1001335;8324;5295;3029
Administração Pública, Defesa e Seguridade Social;7/2020;992313;2534;3009;-475
Administração Pública, Defesa e Seguridade Social;7/2021;989919;4363;3670;693
Administração Pública, Defesa e Seguridade Social;7/2022;1005434;9284;5185;4099
Administração Pública, Defesa e Seguridade Social;8/2020;992258;3255;3310;-55
Administração Pública, Defesa e Seguridade Social;8/2021;991065;5955;4809;1146
Administração Pública, Defesa e Seguridade Social;8/2022;1010036;10202;5600;4602
Administração Pública, Defesa e Seguridade Social;9/2020;992106;2262;2414;-152
Administração Pública, Defesa e Seguridade Social;9/2021;992009;5663;4719;944
Administração Pública, Defesa e Seguridade Social;9/2022;1013199;7858;4695;3163
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2020;1427862;69520;53425;16095
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2021;1509589;88199;55316;32883
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2022;1647477;106242;81228;25014
Agricultura, pecuária, produção florestal, pesca e aquicultura;1/2023;1708731;111632;88485;23147
